Model,Dep_Var,Variable,Coefficient,Std_Error,t_stat,p_value,Significance,R_Squared,Adj_R_Squared,Observations
Model: Key Specification with CAR_2_10,CAR_2_10,const,-0.006840089031643763,0.0024611600441711745,-2.779213423297405,0.005449071055351214,***,0.001297426797475687,0.00036190774201860787,13892
Model: Key Specification with CAR_2_10,CAR_2_10,Z_Guidance_Surprise,-0.0009208423334395147,0.000934849188341929,-0.9850169898235059,0.3246157256319093,,0.001297426797475687,0.00036190774201860787,13892
Model: Key Specification with CAR_2_10,CAR_2_10,Std_Disagreement_Gap_Win,-0.06599311987338677,0.11457513656786243,-0.5759811583056615,0.5646279171555246,,0.001297426797475687,0.00036190774201860787,13892
Model: Key Specification with CAR_2_10,CAR_2_10,Std_Log_Market_Cap,0.0005284283779406912,0.0006368332970556757,0.8297750453436056,0.4066659824096349,,0.001297426797475687,0.00036190774201860787,13892
Model: Key Specification with CAR_2_10,CAR_2_10,Sector_Consumer Discretionary,5.137208725177096e-05,0.003066861969901755,0.016750700799689603,0.9866354994341306,,0.001297426797475687,0.00036190774201860787,13892
Model: Key Specification with CAR_2_10,CAR_2_10,Sector_Consumer Staples,0.0024043342086342958,0.0028850758642933647,0.8333694924251789,0.4046363748796584,,0.001297426797475687,0.00036190774201860787,13892
Model: Key Specification with CAR_2_10,CAR_2_10,Sector_Energy,-0.0015107067781594346,0.003224047662991822,-0.46857457955740733,0.6393737509934743,,0.001297426797475687,0.00036190774201860787,13892
Model: Key Specification with CAR_2_10,CAR_2_10,Sector_Financials,0.0018976494218631225,0.003099677094632244,0.6122087443073698,0.5403996569003562,,0.001297426797475687,0.00036190774201860787,13892
Model: Key Specification with CAR_2_10,CAR_2_10,Sector_Health Care,-0.0012235725298613042,0.0027739816009177505,-0.44108891329938693,0.6591486294013474,,0.001297426797475687,0.00036190774201860787,13892
Model: Key Specification with CAR_2_10,CAR_2_10,Sector_Industrials,-0.00015563236587956553,0.0028697156930352786,-0.05423267756359315,0.9567497860540921,,0.001297426797475687,0.00036190774201860787,13892
Model: Key Specification with CAR_2_10,CAR_2_10,Sector_Information Technology,-0.0018755307120632801,0.002822810948716145,-0.664419525833389,0.5064218391347504,,0.001297426797475687,0.00036190774201860787,13892
Model: Key Specification with CAR_2_10,CAR_2_10,Sector_Materials,0.0006563106561651303,0.003540776936584934,0.1853578092942899,0.8529483982486892,,0.001297426797475687,0.00036190774201860787,13892
Model: Key Specification with CAR_2_10,CAR_2_10,Sector_Real Estate,-0.0015561623198072872,0.003985298051230793,-0.39047576863835626,0.6961847699047243,,0.001297426797475687,0.00036190774201860787,13892
Model: Key Specification with CAR_2_10,CAR_2_10,Sector_Utilities,-0.0026733721350013055,0.0032733225457478444,-0.8167151564315303,0.41409122775184015,,0.001297426797475687,0.00036190774201860787,13892
Model: Key Specification with CAR_2_30,CAR_2_30,const,-0.017164624091918032,0.003608273163769634,-4.757019026238527,1.9647265812212172e-06,***,0.002468996368470089,0.0015345747625318262,13892
Model: Key Specification with CAR_2_30,CAR_2_30,Z_Guidance_Surprise,-0.0017932626760348842,0.0015766989999261632,-1.1373525803713092,0.2553909221675046,,0.002468996368470089,0.0015345747625318262,13892
Model: Key Specification with CAR_2_30,CAR_2_30,Std_Disagreement_Gap_Win,-0.19851729221620648,0.21849913343306032,-0.9085495630902559,0.36358794028699604,,0.002468996368470089,0.0015345747625318262,13892
Model: Key Specification with CAR_2_30,CAR_2_30,Std_Log_Market_Cap,0.002124710598632865,0.0010410790217001628,2.04087351137193,0.04126340132832579,**,0.002468996368470089,0.0015345747625318262,13892
Model: Key Specification with CAR_2_30,CAR_2_30,Sector_Consumer Discretionary,-0.0010531417231722726,0.004467017029583434,-0.23575950487712422,0.8136192928549248,,0.002468996368470089,0.0015345747625318262,13892
Model: Key Specification with CAR_2_30,CAR_2_30,Sector_Consumer Staples,-0.0029194104357603548,0.004941650405341717,-0.590776399844998,0.5546702498073546,,0.002468996368470089,0.0015345747625318262,13892
Model: Key Specification with CAR_2_30,CAR_2_30,Sector_Energy,-0.007370573998722138,0.0047160648580340785,-1.5628652744599039,0.11808428697531191,,0.002468996368470089,0.0015345747625318262,13892
Model: Key Specification with CAR_2_30,CAR_2_30,Sector_Financials,0.0007994089095034853,0.004702984110466958,0.16997907939436185,0.8650265894390481,,0.002468996368470089,0.0015345747625318262,13892
Model: Key Specification with CAR_2_30,CAR_2_30,Sector_Health Care,-0.005023591953432777,0.004219356906767194,-1.1906060720712475,0.23380826677058641,,0.002468996368470089,0.0015345747625318262,13892
Model: Key Specification with CAR_2_30,CAR_2_30,Sector_Industrials,-0.002245720507851737,0.004001199281483007,-0.5612618492272101,0.5746190452245337,,0.002468996368470089,0.0015345747625318262,13892
Model: Key Specification with CAR_2_30,CAR_2_30,Sector_Information Technology,-0.004229009469132811,0.004301366452605351,-0.9831781401864255,0.3255197714944754,,0.002468996368470089,0.0015345747625318262,13892
Model: Key Specification with CAR_2_30,CAR_2_30,Sector_Materials,-0.0052880160809092545,0.005647996908236991,-0.9362639829347741,0.34913728740967387,,0.002468996368470089,0.0015345747625318262,13892
Model: Key Specification with CAR_2_30,CAR_2_30,Sector_Real Estate,-0.004259542828546759,0.005263180994781866,-0.8093095853571907,0.4183370940755575,,0.002468996368470089,0.0015345747625318262,13892
Model: Key Specification with CAR_2_30,CAR_2_30,Sector_Utilities,-0.0076651131270054525,0.00477245317606079,-1.6061159416826967,0.10824843782704456,,0.002468996368470089,0.0015345747625318262,13892
